year,name,model,transmission,km,ownership,fuel,registeration,price
2020,Hyundai,Hyundai GRAND I10 NIOS MAGNA 1.2 MT,Manual,30010,1st,Petrol,MP,608849
2018,Hyundai,Hyundai Grand i10 MAGNA 1.2 VTVT,Manual,46674,1st,Petrol,MP,546799
2021,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,42962,1st,Petrol,MP,712199
2018,Maruti,Maruti IGNIS SIGMA 1.2 K12,Manual,50507,2nd,Petrol,MP,456799
2019,KIA,KIA SELTOS GTX 1.4 GDI AT PETROL,Automatic,22042,1st,Petrol,MP,1419799
2018,Maruti,Maruti Wagon R 1.0 VXI,Manual,37518,1st,Petrol,MP,449599
2021,Honda,Honda WR-V 1.2 i-VTEC VX MT,Manual,22329,1st,Petrol,MP,952899
2020,Maruti,Maruti IGNIS SIGMA 1.2 K12,Manual,33031,1st,Petrol,MP,475699
2018,Hyundai,Hyundai Eon ERA PLUS,Manual,40674,2nd,Petrol,MP,324899
2018,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,69765,2nd,Petrol,MP,543299
2016,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,38309,1st,Petrol,MP,504699
2019,Maruti,Maruti Baleno ZETA 1.2 K12,Manual,42941,2nd,Petrol,MP,692299
2020,Maruti,Maruti S PRESSO VXI PLUS,Manual,30706,1st,Petrol,MP,447399
2021,Maruti,Maruti Alto LXI,Manual,3729,1st,Petrol,MP,409399
2020,Jeep,Jeep Compass 1.4 LIMITED PLUS AT,Automatic,14942,1st,Petrol,MP,2012499
2018,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,47282,1st,Petrol,MP,598099
2022,Hyundai,Hyundai NEW SANTRO 1.1 ERA EXICUTIVE,Manual,8661,1st,Petrol,MP,549099
2019,Hyundai,Hyundai GRAND I10 NIOS SPORTZ PETROL,Manual,13676,1st,Petrol,MP,658099
2019,Maruti,Maruti IGNIS DELTA 1.2 K12,Manual,31732,1st,Petrol,MP,493399
2019,Maruti,Maruti Alto 800 LXI,Manual,38597,1st,Petrol,MP,304499
2019,Maruti,Maruti Alto K10 VXI,Manual,41057,1st,Petrol,MP,429999
2019,Maruti,Maruti IGNIS DELTA 1.2 K12 AMT,Automatic,7341,1st,Petrol,MP,603599
2017,Renault,Renault Kwid CLIMBER 1.0 AT,Automatic,21212,1st,Petrol,MP,459199
2018,Maruti,Maruti IGNIS SIGMA 1.2 K12,Manual,56217,1st,Petrol,MP,493899
2019,Hyundai,Hyundai GRAND I10 NIOS Asta Petrol,Manual,21304,2nd,Petrol,MP,625199
2019,Maruti,Maruti IGNIS DELTA 1.2 K12 AMT,Automatic,34504,1st,Petrol,MP,603199
2018,Tata,Tata Tiago XE 1.05 REVOTORQ,Manual,91528,1st,Diesel,MP,406399
2019,Hyundai,Hyundai Creta 1.4 E PLUS CRDI,Manual,70737,2nd,Diesel,MP,1000499
2011,Hyundai,Hyundai i10 SPORTZ 1.2 KAPPA2,Manual,79979,1st,Petrol,KA,249199
2017,Maruti,Maruti Swift VXI,Manual,62046,1st,Petrol,MP,482099
2010,Maruti,Maruti Zen Estilo VXI,Manual,77522,1st,Petrol,GJ,174299
2019,Hyundai,Hyundai Creta 1.4 E PLUS CRDI,Manual,94706,1st,Diesel,MP,1000499
2015,Maruti,Maruti Swift Dzire VXI,Manual,27965,1st,Petrol,MP,479299
2022,Maruti,Maruti S Cross ALPHA 1.5 SMART HYBRID,Manual,2922,1st,Petrol,MP,1167399
2014,Maruti,Maruti Swift VXI,Manual,59956,2nd,Petrol,MH,396999
2018,Mahindra,Mahindra Thar CRDE 4X4 BS IV,Manual,19659,2nd,Diesel,MP,769999
2017,Maruti,Maruti IGNIS ALPHA 1.2 K12,Manual,32813,1st,Petrol,MP,553299
2020,Renault,Renault Kwid RXL,Manual,42570,2nd,Petrol,RJ,376299
2012,Hyundai,Hyundai i10 MAGNA 1.2 KAPPA2,Manual,116147,2nd,Petrol,RJ,251199
2017,Maruti,Maruti Ertiga ZDI SHVS,Manual,242614,1st,Diesel,RJ,706199
2016,Hyundai,Hyundai Eon ERA PLUS,Manual,40136,1st,Petrol,RJ,284499
2018,Maruti,Maruti Alto 800 LXI,Manual,41009,2nd,Petrol,RJ,265199
2022,Renault,Renault Kwid 1.0 RXT AT,Automatic,202,1st,Petrol,RJ,612299
2017,Volkswagen,Volkswagen Polo HIGHLINE1.2L PETROL,Manual,52422,2nd,Petrol,RJ,554099
2016,Hyundai,Hyundai Eon ERA PLUS,Manual,38453,1st,Petrol,RJ,296599
2021,Maruti,Maruti Baleno ZETA 1.2 K12,Manual,38321,1st,Petrol,RJ,699499
2018,Renault,Renault Kwid 1.0 RXT,Manual,45942,2nd,Petrol,RJ,320999
2019,Renault,Renault Kwid RXL,Manual,12427,1st,Petrol,RJ,429099
2012,Honda,Honda Brio 1.2 S MT I VTEC,Manual,77735,1st,Petrol,RJ,276499
2018,Renault,Renault Kwid RXT,Manual,55408,1st,Petrol,RJ,337699
2013,Maruti,Maruti Wagon R 1.0 VXI,Manual,31943,1st,Petrol,RJ,316299
2015,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,42083,1st,Petrol,RJ,384099
2017,Maruti,Maruti Swift VXI,Manual,73582,1st,Petrol,RJ,491699
2018,Tata,Tata Tiago XZ 1.2 REVOTRON,Manual,58840,1st,Petrol,RJ,452599
2019,Honda,Honda Brio 1.2 S (O) MT IVTEC,Manual,28546,2nd,Petrol,RJ,467699
2018,Renault,Renault Kwid RXL,Manual,31816,1st,Petrol,RJ,304599
2015,Hyundai,Hyundai Grand i10 ASTA 1.1 CRDI,Manual,75389,2nd,Diesel,RJ,376899
2015,Mahindra,Mahindra XUV500 W8 FWD,Manual,95615,2nd,Diesel,RJ,766699
2018,Maruti,Maruti Swift VXI,Manual,83770,1st,Petrol,RJ,597199
2017,Renault,Renault Kwid RXT,Manual,17729,1st,Petrol,RJ,324099
2017,Maruti,Maruti Swift VXI,Manual,66812,1st,Petrol,RJ,516799
2014,Honda,Honda City SV MT DIESEL,Manual,94426,2nd,Diesel,RJ,475599
2019,Hyundai,Hyundai NEW SANTRO ERA 1.1,Manual,22156,2nd,Petrol,RJ,449299
2021,Maruti,Maruti New  Wagon-R VXI 1.0,Manual,31540,1st,Petrol,RJ,587999
2022,Maruti,Maruti Celerio ZXI+,Manual,8855,1st,Petrol,RJ,712799
2018,Maruti,Maruti Celerio ZXI,Manual,64299,1st,Petrol,RJ,488599
2017,Hyundai,Hyundai Grand i10 magna 1.2 crdi,Manual,59333,2nd,Diesel,RJ,472299
2022,Maruti,Maruti Celerio VXI CNG,Manual,20858,1st,Petrol + CNG,RJ,753899
2016,Honda,Honda Jazz VX  1.2,Manual,82175,2nd,Petrol,RJ,612499
2016,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,84157,2nd,Petrol,RJ,521299
2020,Maruti,Maruti New  Wagon-R VXI 1.0,Manual,23364,1st,Petrol,RJ,578799
2019,Honda,Honda Amaze 1.2 EMT I VTEC,Manual,18608,1st,Petrol,RJ,610799
2015,Honda,Honda Brio 1.2 S MT I VTEC,Manual,52425,2nd,Petrol,RJ,353299
2020,Maruti,Maruti New  Wagon-R VXI 1.0,Manual,12899,1st,Petrol,RJ,576999
2020,Maruti,Maruti New  Wagon-R VXI 1.0,Manual,32385,1st,Petrol,RJ,568199
2019,Maruti,Maruti New  Wagon-R VXI 1.0,Manual,17660,1st,Petrol,RJ,550299
2021,MG,MG HECTOR SUPER HYBRID PETROL MT,Manual,7297,1st,Petrol,RJ,1528699
2019,Tata,Tata Harrier XZ 2.0L Kryotec,Manual,43213,1st,Diesel,RJ,1589699
2018,Maruti,Maruti Wagon R 1.0 VXI,Manual,68791,2nd,Petrol,RJ,429799
2018,Maruti,Maruti Celerio ZXI,Manual,64535,2nd,Petrol,RJ,488499
2022,Maruti,Maruti Celerio ZXI,Manual,7867,1st,Petrol,RJ,655899
2018,Maruti,Maruti Celerio ZXI,Manual,56096,1st,Petrol,RJ,489499
2019,Maruti,Maruti Celerio ZXI,Manual,16461,2nd,Petrol,RJ,501299
2016,Honda,Honda Brio 1.2 S MT I VTEC,Manual,67010,1st,Petrol,RJ,368349
2017,Hyundai,Hyundai Grand i10 Sportz1.2 CRDI,Manual,71572,2nd,Diesel,RJ,481299
2019,Tata,Tata Harrier XZ 2.0L Kryotec,Manual,35740,2nd,Diesel,RJ,1325499
2020,Hyundai,Hyundai NEW SANTRO ERA 1.1,Manual,5589,2nd,Petrol,RJ,499299
2020,Maruti,Maruti New  Wagon-R VXI 1.0,Manual,52161,1st,Petrol,RJ,561299
2015,Hyundai,Hyundai Elite i20 ASTA 1.2,Manual,42897,1st,Petrol,RJ,578299
2018,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,51922,1st,Petrol,RJ,493099
2018,Maruti,Maruti Swift VXI AMT,Automatic,36075,1st,Petrol,RJ,662099
2019,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,15996,2nd,Petrol,RJ,508199
2017,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,78081,1st,Petrol,RJ,504799
2018,Maruti,Maruti Wagon R 1.0 VXI,Manual,7639,1st,Petrol,RJ,493799
2018,Maruti,Maruti Celerio X Zxi,Manual,53961,1st,Petrol,RJ,487999
2014,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,44095,1st,Petrol,RJ,475499
2020,Hyundai,Hyundai Elite i20 1.2 MAGNA PLUS VTVT,Manual,55856,1st,Petrol,RJ,670699
2014,Hyundai,Hyundai i10 SPORTZ 1.1 IRDE2,Manual,43678,1st,Petrol,RJ,359099
2017,Hyundai,Hyundai Creta 1.6 SX (O) CRDI,Manual,84850,1st,Diesel,RJ,1116799
2020,Hyundai,Hyundai GRAND I10 NIOS MAGNA 1.2 MT,Manual,6505,1st,Petrol,RJ,640799
2018,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,17476,2nd,Petrol,RJ,611799
2019,Hyundai,Hyundai NEW SANTRO 1.1 MAGNA MT,Manual,37643,1st,Petrol,RJ,465999
2018,Maruti,Maruti Celerio X Zxi,Manual,32573,2nd,Petrol,RJ,513099
2019,Hyundai,Hyundai NEW SANTRO 1.1 MAGNA MT,Manual,38747,1st,Petrol,RJ,486699
2018,Maruti,Maruti Celerio X Zxi,Manual,60649,1st,Petrol,RJ,513099
2019,Hyundai,Hyundai Grand i10 MAGNA 1.2 VTVT,Manual,61543,1st,Petrol,RJ,487299
2014,Hyundai,Hyundai Elite i20 ASTA 1.4 CRDI,Manual,98419,1st,Diesel,RJ,558599
2016,Honda,Honda Brio 1.2 S MT I VTEC,Manual,89706,1st,Petrol,RJ,403999
2020,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,36998,1st,Petrol,RJ,725499
2022,Hyundai,Hyundai NEW SANTRO SPORTZ 1.1,Manual,5523,1st,Petrol,RJ,520499
2021,Tata,Tata Harrier XZ +,Manual,35349,1st,Diesel,RJ,1956699
2022,Renault,Renault TRIBER 1.0 RXZ,Manual,4648,1st,Petrol,RJ,855699
2019,Maruti,Maruti Dzire VXI,Manual,53877,1st,Petrol,RJ,657199
2019,Hyundai,Hyundai NEW SANTRO SPORTZ 1.1,Manual,45090,1st,Petrol + CNG,RJ,479499
2019,Maruti,Maruti Alto K10 VXI,Manual,50351,1st,Petrol,RJ,388699
2014,Maruti,Maruti Wagon R 1.0 VXI,Manual,73497,1st,Petrol,RJ,324299
2013,Honda,Honda Amaze 1.2 SMT I VTEC,Manual,92490,2nd,Petrol,RJ,354499
2018,Hyundai,Hyundai Creta 1.6 SX CRDI,Manual,70988,1st,Diesel,RJ,1148999
2019,Honda,Honda Amaze 1.2 SMT I VTEC,Manual,40854,1st,Petrol,RJ,642899
2018,Hyundai,Hyundai Creta 1.6 SX CRDI,Manual,82547,2nd,Diesel,RJ,1241699
2018,Hyundai,Hyundai Creta 1.6 SX CRDI,Manual,66059,1st,Diesel,RJ,1232299
2015,Maruti,Maruti Wagon R 1.0 VXI,Manual,56408,1st,Petrol,RJ,374899
2018,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,70327,2nd,Petrol,RJ,537499
2019,Maruti,Maruti Ciaz DELTA 1.4 VVT AT,Automatic,87276,2nd,Petrol,RJ,620299
2016,Maruti,Maruti Wagon R 1.0 VXI,Manual,88255,1st,Petrol,RJ,412699
2017,Hyundai,Hyundai Xcent E PLUS,Manual,29902,1st,Petrol,RJ,554199
2018,Honda,Honda Amaze 1.2 SMT I VTEC,Manual,46809,1st,Petrol,RJ,542299
2014,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,47013,2nd,Petrol,RJ,428499
2019,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,94896,1st,Petrol,RJ,530299
2019,Honda,Honda Amaze 1.2 SMT I VTEC,Manual,19610,1st,Petrol,RJ,687199
2015,Maruti,Maruti Wagon R 1.0 VXI,Manual,83451,1st,Petrol,RJ,367699
2018,Honda,Honda City VX CVT PETROL,Automatic,97658,1st,Petrol,RJ,960199
2020,Maruti,Maruti Dzire VXI,Manual,38050,1st,Petrol,RJ,692599
2021,Tata,Tata TIGOR 1.2 XZA+ RTN,Automatic,4824,1st,Petrol,RJ,849899
2021,Hyundai,Hyundai NEW SANTRO SPORTZ 1.1,Manual,28757,1st,Petrol,RJ,547699
2020,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,51330,1st,Petrol,RJ,547899
2016,Maruti,Maruti Baleno ZETA 1.2 K12,Manual,72200,1st,Petrol,RJ,569899
2018,Maruti,Maruti Wagon R 1.0 VXI,Manual,35596,1st,Petrol,RJ,464999
2019,Honda,Honda Amaze 1.2 SMT I VTEC,Manual,32372,1st,Petrol,RJ,687199
2019,Hyundai,Hyundai Elite i20 1.2 SPORTS PLUS VTVT,Manual,35499,1st,Petrol,RJ,729799
2017,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,39961,1st,Petrol,RJ,519199
2019,Hyundai,Hyundai Elite i20 1.2 SPORTS PLUS VTVT,Manual,65797,1st,Petrol,RJ,723299
2019,Hyundai,Hyundai Elite i20 1.2 SPORTS PLUS VTVT,Manual,88165,1st,Petrol,RJ,729799
2019,Honda,Honda Amaze 1.2 SMT I VTEC,Manual,80112,1st,Petrol,RJ,687199
2018,Honda,Honda WR-V 1.2 i-VTEC VX MT,Manual,17009,1st,Petrol,RJ,752599
2020,Maruti,Maruti Dzire VXI,Manual,22523,1st,Petrol,RJ,721699
2014,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,45067,1st,Petrol,RJ,434399
2018,Maruti,Maruti Wagon R 1.0 VXI,Manual,18887,1st,Petrol,RJ,466299
2015,Hyundai,Hyundai i20 Active 1.2 S,Manual,85528,1st,Petrol,RJ,539899
2021,Hyundai,Hyundai GRAND I10 NIOS SPORTZ PETROL,Manual,31904,1st,Petrol,RJ,665999
2021,Tata,Tata NEXON XZ+ SUNROOF 1.5 RTQ,Manual,64514,1st,Diesel,RJ,1279999
2016,Maruti,Maruti Wagon R 1.0 VXI,Manual,53619,1st,Petrol,RJ,409199
2017,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,81139,1st,Petrol,RJ,597399
2021,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,11931,1st,Petrol,RJ,727899
2017,Maruti,Maruti Wagon R 1.0 VXI,Manual,51895,2nd,Petrol,RJ,456199
2020,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,28423,1st,Petrol,RJ,687399
2018,Jeep,Jeep Compass LIMITED 2.0 4*4,Manual,74318,1st,Diesel,RJ,1540999
2020,Ford,Ford FREESTYLE TITANIUM 1.2 TI-VCT MT,Manual,16387,1st,Petrol,RJ,702699
2016,Maruti,Maruti Wagon R 1.0 VXI AMT,Automatic,45275,2nd,Petrol,RJ,428399
2019,Maruti,Maruti XL6 ALPHA SHVS  MT,Manual,82019,1st,Petrol,RJ,1004299
2018,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,52477,1st,Petrol,RJ,636399
2020,Maruti,Maruti S Cross ALPHA 1.5 SMART HYBRID,Manual,11062,1st,Petrol,RJ,1191499
2016,Maruti,Maruti Wagon R 1.0 VXI,Manual,56010,1st,Petrol,RJ,422899
2021,Honda,Honda WR-V 1.2 i-VTEC VX MT,Manual,36507,1st,Petrol,RJ,878699
2017,Honda,Honda WR-V 1.2 i-VTEC VX MT,Manual,50064,1st,Petrol,RJ,662699
2019,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,27234,2nd,Petrol,RJ,652899
2019,Maruti,Maruti Wagon R 1.0 VXI,Manual,39536,2nd,Petrol,RJ,496299
2018,Maruti,Maruti Baleno DELTA 1.2 K12,Manual,90338,1st,Petrol,RJ,637599
2018,Maruti,Maruti Wagon R 1.0 VXI,Manual,35610,1st,Petrol,RJ,500499
2018,Honda,Honda WR-V 1.2 i-VTEC VX MT,Manual,48029,3rd,Petrol,RJ,771499
2020,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,27634,1st,Petrol,RJ,661199
2018,Maruti,Maruti Wagon R 1.0 VXI,Manual,23014,1st,Petrol,RJ,504599
2021,Hyundai,Hyundai GRAND I10 NIOS SPORTZ PETROL,Manual,45065,1st,Petrol,RJ,702599
2020,Tata,Tata ALTROZ XZ 1.2,Manual,28777,1st,Petrol,RJ,721899
2020,Maruti,Maruti Alto VXI,Manual,28619,1st,Petrol,RJ,377399
2019,Maruti,Maruti Baleno ALPHA 1.2 K12,Manual,40317,1st,Petrol,RJ,740299
2018,Maruti,Maruti Baleno ALPHA 1.2 K12,Manual,39039,1st,Petrol,RJ,685299
2020,Maruti,Maruti S Cross ALPHA 1.5 SMART HYBRID,Manual,40136,1st,Petrol,RJ,1191499
2019,Maruti,Maruti Alto LXI,Manual,37590,2nd,Petrol,RJ,340399
2018,Maruti,Maruti Alto K10 VXI (O) AMT,Automatic,126200,1st,Petrol,RJ,308299
2011,Hyundai,Hyundai i10 ERA 1.1 IRDE,Manual,96616,1st,Petrol,RJ,239999
2017,Tata,Tata Tiago XT 1.2 REVOTRON,Manual,87923,1st,Petrol,RJ,391599
2019,Maruti,Maruti Alto 800 LXI,Manual,29433,3rd,Petrol,RJ,290099
2016,Renault,Renault Kwid RXT,Manual,42405,1st,Petrol,RJ,297199
2012,Maruti,Maruti Swift Dzire VXI,Manual,79249,1st,Petrol,RJ,390899
2013,Maruti,Maruti Swift Dzire VDI,Manual,60551,1st,Diesel,RJ,477299
2014,Maruti,Maruti Swift VXI,Manual,53130,1st,Petrol,RJ,482499
2018,Mahindra,Mahindra Scorpio S11,Manual,55798,2nd,Diesel,RJ,1584999
2020,Maruti,Maruti XL6 ZETA SHVS,Manual,22792,1st,Petrol,RJ,976799
2018,Maruti,Maruti Swift VXI,Manual,19777,1st,Petrol,RJ,598199
2016,Hyundai,Hyundai Elite i20 ASTA 1.2,Manual,46829,3rd,Petrol,RJ,548299
2019,Maruti,Maruti Vitara Brezza ZDI,Manual,59309,1st,Diesel,RJ,927199
2018,Hyundai,Hyundai Elite i20 ASTA 1.2 DUAL TONE,Manual,34398,2nd,Petrol,RJ,605799
2019,Tata,Tata Harrier XZ 2.0L Kryotec,Manual,59371,1st,Diesel,RJ,1394149
2019,Maruti,Maruti Dzire VXI,Manual,58714,1st,Petrol,RJ,641599
2018,Maruti,Maruti Alto 800 LXI,Manual,35381,1st,Petrol,RJ,311999
2012,Hyundai,Hyundai i20 MAGNA O 1.2,Manual,33314,2nd,Petrol,TN,312699
2020,Maruti,Maruti Swift LXI,Manual,12355,1st,Petrol,TN,605999
2013,Maruti,Maruti Swift VXI,Manual,37446,2nd,Petrol,TN,426099
2010,Hyundai,Hyundai Santro Xing GLS,Manual,45401,2nd,Petrol,TN,238849
2019,Maruti,Maruti Swift VXI,Manual,36419,2nd,Petrol,TN,659399
2015,Hyundai,Hyundai Elite i20 ASTA 1.2,Manual,79324,3rd,Petrol,TN,472599
2019,Skoda,Skoda Rapid 1.6 MPI MT ACTIVE,Manual,8370,1st,Petrol,TN,794499
2013,Volkswagen,Volkswagen Vento HIGHLINE PETROL AT,Automatic,43531,2nd,Petrol,TN,560899
2021,Hyundai,Hyundai GRAND I10 NIOS MAGNA 1.2 MT,Manual,1772,1st,Petrol,TN,646499
2019,Maruti,Maruti New  Wagon-R ZXI 1.2,Manual,5867,1st,Petrol,TN,594899
2010,Honda,Honda City V MT PETROL,Manual,92126,1st,Petrol,TN,460899
2016,Hyundai,Hyundai Creta 1.6 SX PLUS AUTO PETROL,Automatic,48069,1st,Petrol,TN,1020499
2017,Hyundai,Hyundai Creta 1.6 SX (O) CRDI,Manual,25229,2nd,Diesel,TN,1138899
2017,Hyundai,Hyundai Creta 1.6 E + VTVT,Manual,57562,2nd,Petrol,TN,767399
2015,Mercedes,Mercedes Benz C Class C 200 AVANTGARDE,Automatic,42446,2nd,Petrol,TN,1944399
2019,Maruti,Maruti Swift VXI,Manual,33032,2nd,Petrol,TN,643599
2019,Maruti,Maruti Swift VXI,Manual,71266,1st,Petrol,TN,602099
2021,Tata,Tata Harrier XT 2.0L Kryotec,Manual,3774,1st,Diesel,TN,1818599
2019,Honda,Honda Amaze 1.5 V I-D TECH,Manual,93712,1st,Diesel,TN,734799
2022,Maruti,Maruti Swift VXI,Manual,3543,1st,Petrol,TN,762399
2021,Volkswagen,Volkswagen Polo HIGH LINE PLUS 1.0,Manual,22535,1st,Petrol,TN,868399
2012,Honda,Honda City V MT PETROL,Manual,63193,3rd,Petrol,TN,439199
2015,Hyundai,Hyundai i10 MAGNA 1.1 IRDE2,Manual,21310,1st,Petrol,TN,376799
2022,Maruti,Maruti Celerio VXI,Manual,4040,1st,Petrol,TN,623499
2021,Maruti,Maruti Swift ZXI+,Manual,46252,1st,Petrol,TN,811499
2019,Maruti,Maruti Swift VXI,Manual,53473,1st,Petrol,TN,610899
2019,Maruti,Maruti Swift ZXI+,Manual,81927,1st,Petrol,TN,693499
2015,Honda,Honda Amaze 1.2 SMT I VTEC,Manual,44068,2nd,Petrol,TN,485999
2014,Maruti,Maruti Swift ZXI,Manual,12277,1st,Petrol,TN,530799
2013,Maruti,Maruti Swift Dzire VXI,Manual,82953,1st,Petrol,TN,474799
2014,Honda,Honda Amaze 1.2 SMT I VTEC,Manual,17501,1st,Petrol,TN,447499
2018,Renault,Renault Kwid RXL,Manual,64913,1st,Petrol,TN,339299
2021,Tata,Tata ALTROZ XE 1.2,Manual,13462,1st,Petrol,TN,652699
2015,Ford,Ford Ecosport 1.5AMBIENTE TI VCT,Manual,25213,1st,Petrol,TN,551899
2014,Hyundai,Hyundai Elite i20 MAGNA 1.2,Manual,19587,2nd,Petrol,TN,477699
2015,Ford,Ford Ecosport 1.5 TREND TDCI,Manual,51696,3rd,Diesel,TN,557299
2011,Maruti,Maruti Eeco 5 STR WITH AC PLUSHTR,Manual,62415,1st,Petrol,TN,306999
2019,Honda,Honda Jazz 1.2 VX I-VTECH,Manual,24821,1st,Petrol,TN,782699
2021,Honda,Honda Amaze 1.2 VXMT I VTEC,Manual,13191,2nd,Petrol,TN,829299
2020,Renault,Renault Duster RXS 106 PS MT,Manual,44886,1st,Petrol,TN,848899
2015,Maruti,Maruti Swift VDI ABS,Manual,75451,1st,Diesel,TN,518699
2011,Hyundai,Hyundai i10 MAGNA 1.2 KAPPA2,Manual,86627,2nd,Petrol,TN,304799
2015,Maruti,Maruti Wagon R 1.0 VXI,Manual,8686,1st,Petrol,TN,417399
2019,Hyundai,Hyundai NEW SANTRO 1.1 MAGNA MT,Manual,1980,1st,Petrol,TN,570099
2013,Maruti,Maruti Alto 800 LXI,Manual,40700,1st,Petrol,TN,256699
2017,Mahindra,Mahindra Kuv100 K8 6 STR,Manual,15005,2nd,Petrol,TN,496799
2022,Hyundai,Hyundai GRAND I10 NIOS 1.0 TURBO SPORTZ,Manual,1173,1st,Petrol,TN,899399
2021,Maruti,Maruti Dzire VXI,Manual,5325,2nd,Petrol,TN,731699
2014,Hyundai,Hyundai i20 ERA 1.2,Manual,43781,1st,Petrol,TN,397699
2014,Honda,Honda Brio 1.2 S MT I VTEC,Manual,53798,1st,Petrol,TN,410699
2020,Renault,Renault TRIBER 1.0 RXT,Manual,21750,1st,Petrol,TN,612999
2019,Hyundai,Hyundai Creta 1.6 EX CRDI,Manual,86364,1st,Diesel,TN,1048599
2013,Hyundai,Hyundai i10 SPORTZ 1.2 KAPPA2 O,Manual,40681,3rd,Petrol,TN,349499
2015,Volkswagen,Volkswagen Polo HIGHLINE1.2L PETROL,Manual,56753,2nd,Petrol,TN,522299
2016,Ford,Ford Ecosport 1.5 TITANIUM TI VCT,Manual,32763,1st,Petrol,TN,679799
2018,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,19085,1st,Petrol,TN,589099
2019,KIA,KIA SELTOS HTX 1.5 DIESEL,Manual,24964,1st,Diesel,TN,1495799
2016,Volkswagen,Volkswagen Polo GT TSI 1.2 PETROL AT,Automatic,72497,2nd,Petrol,TN,667099
2019,Jeep,Jeep Compass LIMITED PLUS 2.0 4*4,Manual,34532,1st,Diesel,TN,2006399
2020,Hyundai,Hyundai AURA S 1.2 Kappa MT,Manual,22557,1st,Petrol,TN,720199
2020,Renault,Renault TRIBER 1.0 RXT,Manual,20076,1st,Petrol,TN,637699
2020,Hyundai,Hyundai GRAND I10 NIOS SPORTZ PETROL,Manual,15590,1st,Petrol,TN,668299
2018,Honda,Honda Amaze 1.5 SMT I DTEC,Manual,91156,1st,Diesel,TN,659299
2014,Hyundai,Hyundai i10 SPORTZ 1.1 IRDE2,Manual,64574,1st,Petrol,TN,378299
2012,Hyundai,Hyundai i10 MAGNA 1.2 KAPPA2,Manual,62745,1st,Petrol,TN,329399
2018,Honda,Honda Brio 1.2 VX MT I VTEC,Manual,28876,2nd,Petrol,TN,507999
2018,Tata,Tata Tiago XE 1.2 REVOTRON,Manual,31063,1st,Petrol,TN,455899
2018,Mahindra,Mahindra Bolero Power+ ZLX,Manual,62611,2nd,Diesel,TN,805099
2018,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,21060,1st,Petrol,TN,590799
2015,Honda,Honda Amaze 1.2 SX MT I VTEC,Manual,50449,1st,Petrol,TN,511699
2014,Maruti,Maruti Alto K10 VXI,Manual,34064,2nd,Petrol,TN,290599
2016,Maruti,Maruti Celerio VXI,Manual,29868,1st,Petrol,TN,448899
2013,Maruti,Maruti Zen Estilo VXI,Manual,60033,2nd,Petrol,TN,275099
2017,Maruti,Maruti Dzire VDI,Manual,48905,2nd,Diesel,TN,672699
2016,Honda,Honda City VX (O) PETROL,Manual,52882,2nd,Petrol,TN,715099
2014,Hyundai,Hyundai i10 SPORTZ 1.1 IRDE2,Manual,50714,2nd,Petrol,TN,378299
2020,Maruti,Maruti Celerio ZXI AMT,Automatic,35415,1st,Petrol,TN,600599
2018,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,37927,1st,Petrol,TN,538599
2016,Honda,Honda City V MT PETROL,Manual,48108,2nd,Petrol,TN,685699
2016,Maruti,Maruti Celerio ZXI AMT,Automatic,36894,1st,Petrol,TN,455399
2018,Maruti,Maruti Swift VXI,Manual,27834,1st,Petrol,TN,631299
2019,KIA,KIA SELTOS HTX+ AT 1.5 DIESEL,Automatic,35149,1st,Diesel,TN,1473399
