year,name,model,transmission,km,ownership,fuel,registeration,price
2019,Maruti,Maruti Dzire VXI,Manual,21048,1st,Petrol,GJ,645999
2015,Hyundai,Hyundai Elite i20 SPORTZ 1.2,Manual,33064,1st,Petrol,GJ,523599
2019,KIA,KIA SELTOS 1.4 GTX+ TURBO GDI PETROL AT,Automatic,13445,1st,Petrol,GJ,1629899
2017,Maruti,Maruti Swift VXI,Manual,55329,1st,Petrol,GJ,530199
2012,Hyundai,Hyundai i20 MAGNA O 1.2,Manual,78436,2nd,Petrol,GJ,379799
2018,Honda,Honda Jazz 1.2 V MT,Manual,24569,1st,Petrol,GJ,603599
2020,Maruti,Maruti New  Wagon-R VXI 1.2L,Manual,19813,1st,Petrol,GJ,553799
2018,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,23830,1st,Petrol,GJ,584099
2020,MG,MG HECTOR SHARP DCT PETROL,Automatic,23249,1st,Petrol,GJ,1554899
2018,Honda,Honda City SV MT EDGE EDITION PETROL,Manual,76317,2nd,Petrol,GJ,725549
2017,Hyundai,Hyundai Elite i20 SPORTZ 1.2,Manual,29237,1st,Petrol,GJ,607899
2020,Hyundai,Hyundai VENUE SX 1.0 GDI IMT,Manual,14287,2nd,Petrol,GJ,948699
2021,Mahindra,Mahindra Thar LX  4WD AT CONVERTIBLE,Automatic,5857,1st,Petrol,GJ,1599199
2019,Hyundai,Hyundai NEW SANTRO SPORTZ 1.1,Manual,51626,1st,Petrol,GJ,514899
2013,Hyundai,Hyundai Eon ERA PLUS,Manual,49241,1st,Petrol,GJ,258899
2014,Volkswagen,Volkswagen Vento HIGHLINE DIESEL,Manual,89558,3rd,Diesel,GJ,489799
2020,Honda,Honda City VX CVT PETROL,Automatic,29942,1st,Petrol,GJ,1094099
2017,Hyundai,Hyundai Elite i20 ASTA 1.2 DUAL TONE,Manual,65342,1st,Petrol,GJ,620549
2018,Jeep,Jeep Compass 2.0 LONGITUDE,Manual,88971,2nd,Diesel,GJ,1139699
2020,Honda,Honda Civic VX CVT i-VTEC,Automatic,42272,1st,Petrol,GJ,1447299
2019,KIA,KIA SELTOS HTK 1.5 PETROL,Manual,19788,1st,Petrol,GJ,1022099
2021,Tata,Tata NEXON XM 1.2,Manual,18963,1st,Petrol,GJ,835299
2020,Maruti,Maruti S PRESSO VXI,Manual,10338,1st,Petrol,GJ,412049
2020,Volkswagen,Volkswagen Polo HIGH LINE PLUS 1.0,Manual,40972,1st,Petrol,GJ,724099
2022,Renault,Renault TRIBER 1.0 RXZ,Manual,2263,1st,Petrol,GJ,834999
2022,Mahindra,Mahindra Thar LX D AT 4WD HT,Automatic,9297,1st,Diesel,GJ,1790099
2015,Hyundai,Hyundai Xcent S 1.2 OPT,Manual,26916,1st,Petrol,GJ,480299
2020,MG,MG HECTOR SHARP DCT PETROL,Automatic,17482,1st,Petrol,GJ,1577499
2014,Maruti,Maruti Celerio VXI AMT,Automatic,96281,2nd,Petrol,GJ,362399
2016,Maruti,Maruti Alto 800 LXI,Manual,46016,1st,Petrol,GJ,296799
2016,Hyundai,Hyundai i20 Active 1.2 S,Manual,54989,2nd,Petrol,MH,522199
2019,Renault,Renault Kwid RXL,Manual,19549,1st,Petrol,GJ,419099
2020,Mahindra,Mahindra XUV500 W11,Manual,80016,1st,Diesel,GJ,1481699
2020,MG,MG HECTOR SHARP DCT PETROL,Automatic,17637,1st,Petrol,GJ,1542399
2020,MG,MG HECTOR SHARP DCT PETROL,Automatic,27940,1st,Petrol,GJ,1480599
2019,Maruti,Maruti Celerio X Zxi AMT,Automatic,67679,1st,Petrol,GJ,460499
2019,Hyundai,Hyundai Verna 1.6 SX (O) CRDI MT,Manual,87829,2nd,Diesel,GJ,1009799
2017,Hyundai,Hyundai Grand i10 MAGNA 1.2 VTVT,Manual,16475,2nd,Petrol,GJ,512599
2014,Honda,Honda City V MT PETROL,Manual,87296,2nd,Petrol,KA,540099
2021,Hyundai,Hyundai AURA S CNG,Manual,54471,1st,Petrol + CNG,GJ,766899
2021,Maruti,Maruti Vitara Brezza ZXI+ AT SHVS,Automatic,14582,1st,Petrol,GJ,1128299
2019,Tata,Tata TIGOR XZ 1.2 REVOTRON,Manual,10028,1st,Petrol,GJ,643699
2017,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,23332,1st,Petrol,GJ,523699
2018,Maruti,Maruti Alto 800 VXI,Manual,37830,1st,Petrol,GJ,300899
2019,Honda,Honda Amaze 1.2 V MT I-VTEC,Manual,44758,3rd,Petrol + CNG,GJ,659399
2018,Maruti,Maruti Alto 800 LXI,Manual,25154,1st,Petrol,GJ,306299
2020,Hyundai,Hyundai VENUE S MT 1.2 KAPPA,Manual,45678,1st,Petrol,GJ,814099
2020,MG,MG HECTOR SHARP DCT PETROL,Automatic,19456,1st,Petrol,GJ,1586099
2019,Jeep,Jeep Compass SPORT PLUS PETROL,Manual,32553,1st,Petrol,GJ,1249999
2020,Ford,Ford Ecosport 1.5TITANIUM TDCI,Manual,52061,1st,Diesel,GJ,914999
2022,Hyundai,Hyundai VENUE 1.0L Turbo GDI SX MT,Manual,13671,1st,Petrol,GJ,1062499
2020,Maruti,Maruti XL6 ALPHA SHVS  MT,Manual,11754,1st,Petrol,GJ,1057699
2020,Hyundai,Hyundai GRAND I10 NIOS MAGNA 1.2 MT,Manual,12967,1st,Petrol,GJ,620599
2020,Hyundai,Hyundai Creta SX PETROL MT,Manual,8387,1st,Petrol,GJ,1321099
2020,MG,MG HECTOR SHARP DCT PETROL,Automatic,32507,1st,Petrol,GJ,1556099
2020,Maruti,Maruti Vitara Brezza VXI,Manual,40741,1st,Petrol,GJ,875999
2019,Honda,Honda Amaze 1.2 SMT I VTEC,Manual,65618,1st,Petrol,GJ,641499
2017,Ford,Ford Ecosport 1.5 TITANIUM TI VCT,Manual,38536,1st,Petrol,GJ,689299
2018,Jeep,Jeep Compass 2.0 LONGITUDE (O),Manual,62507,2nd,Diesel,GJ,1133999
2017,Hyundai,Hyundai New Elantra 2.0 SX (O) MT,Manual,85649,1st,Petrol,GJ,1055799
2018,Honda,Honda City V MT PETROL,Manual,67173,1st,Petrol,GJ,834199
2019,Hyundai,Hyundai Elite i20 MAGNA+ VTVT,Manual,21228,1st,Petrol,GJ,668499
2020,Hyundai,Hyundai Creta SX PETROL MT,Manual,6278,1st,Petrol,GJ,1500699
2020,Maruti,Maruti Ciaz ALPHA 1.5 MT VTVT SHVS,Manual,15819,1st,Petrol,GJ,1013699
2020,Ford,Ford Ecosport 1.5TITANIUM TDCI,Manual,73641,1st,Diesel,GJ,926199
2019,Hyundai,Hyundai New Elantra SX PETROL AT,Automatic,31995,1st,Petrol,GJ,1407199
