year,name,model,transmission,km,ownership,fuel,registeration,emi,payment,price
2020,Ford Ecosport,1.5TITANIUM TDCI,Manual,"73,641",1st ,Diesel,GJ,"17,393",Zero Down Payment,"9,26,199"
2019,Hyundai New Elantra,SX PETROL AT,Automatic,"31,995",1st ,Petrol,GJ,"26,426",Zero Down Payment,"14,07,199"
2019,Tata Harrier,XM 2.0L Kryotec,Manual,"56,931",1st ,Diesel,GJ,"23,126",Zero Down Payment,"12,31,499"
2019,Hyundai Elite i20,1.2 SPORTS PLUS VTVT CVT,Automatic,"43,931",1st ,Petrol,GJ,"13,996",Zero Down Payment,"7,15,899"
2018,Honda City,ZX CVT,Automatic,"11,532",1st ,Petrol,GJ,"21,233",Zero Down Payment,"11,30,699"
2017,Hyundai Verna,1.6 SX VTVT,Manual,"88,909",2nd ,Petrol,GJ,"13,929",Zero Down Payment,"7,12,499"
2013,Hyundai i20,SPORTZ 1.2 VTVT,Manual,"54,899",2nd ,Petrol,GJ,"8,367",Zero Down Payment,"4,27,999"
2016,Hyundai Elite i20,ASTA 1.2 (O),Manual,"17,399",1st ,Petrol,GJ,"13,067",Zero Down Payment,"6,68,399"
2019,Honda Amaze,1.2 SMT I VTEC,Manual,"24,370",1st ,Petrol,GJ,"13,015",Zero Down Payment,"6,65,699"
2020,Datsun Redi Go,1.0 T(O) AT,Automatic,"10,197",1st ,Petrol,GJ,"8,786",Zero Down Payment,"4,49,399"
2015,Hyundai Xcent,BASE 1.2,Manual,"64,000",3rd ,Petrol + CNG,GJ,"8,584",Zero Down Payment,"4,39,099"
2021,Honda Jazz,VX 1.2 CVT,Automatic,"8,741",1st ,Petrol,GJ,"17,740",Zero Down Payment,"9,44,699"
2021,Maruti Dzire,VXI,Manual,"12,426",1st ,Petrol,GJ,"14,326",Zero Down Payment,"7,32,799"
2017,Maruti Dzire,VXI,Manual,"32,997",1st ,Petrol,GJ,"12,440",Zero Down Payment,"6,36,299"
2016,Hyundai Elite i20,SPORTZ 1.2,Manual,"83,185",2nd ,Petrol + CNG,GJ,"10,882",Zero Down Payment,"5,56,599"
2019,Tata Harrier,XZ 2.0L Kryotec,Manual,"71,915",2nd ,Diesel,GJ,"24,473",Zero Down Payment,"13,03,199"
2017,Jeep Compass,2.0 SPORT,Manual,"44,975",2nd ,Diesel,GJ,"21,342",Zero Down Payment,"11,36,499"
2019,Hyundai NEW SANTRO,1.1 SPORTS AMT,Automatic,"7,090",1st ,Petrol,GJ,"11,554",Zero Down Payment,"5,90,999"
2018,Maruti Wagon R 1.0,VXI,Manual,"41,578",1st ,Petrol,GJ,"8,283",Zero Down Payment,"4,23,699"
2021,Volkswagen Vento,COMFORTLINE 1.0 TSI MT,Manual,"23,049",1st ,Petrol,GJ,"16,217",Zero Down Payment,"8,63,599"
2018,Jeep Compass,2.0 LONGITUDE (O),Manual,"50,913",1st ,Diesel,GJ,"21,731",Zero Down Payment,"11,57,199"
2020,Honda City,V CVT,Automatic,"62,834",1st ,Petrol,GJ,"19,252",Zero Down Payment,"10,25,199"
2019,KIA SELTOS,GTX 1.4 GDI AT PETROL,Automatic,"61,151",1st ,Petrol,GJ,"24,204",Zero Down Payment,"12,88,899"
2020,Volkswagen Vento,COMFORTLINE 1.0 TSI MT,Manual,"69,511",2nd ,Petrol,GJ,"17,979",Zero Down Payment,"9,57,399"
2017,Maruti Dzire,VXI,Manual,"77,998",1st ,Petrol,MH,"11,896",Zero Down Payment,"6,08,499"
2017,Hyundai New Elantra,2.0 SX AT,Automatic,"42,545",1st ,Petrol,GJ,"20,574",Zero Down Payment,"10,95,599"
2017,Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"74,108",1st ,Petrol + CNG,GJ,"9,267",Zero Down Payment,"4,73,999"
2019,Hyundai Verna,1.6 SX VTVT,Manual,"6,093",2nd ,Petrol,GJ,"16,708",Zero Down Payment,"8,89,699"
